meaning,kana,kanji,
留学生,りゅうがくせい,留学生,
双亲,りょうしん,両親,
哥哥,あに,兄,
姐姐,あね,姉,
名古屋,なごや,名古屋,
在，有,いる,居る,
父亲,ちち,父,
公务员,こうむいん,公務員,
明年,らいねん,来年,
退休年龄,ていねん,定年,
母亲,はは,母,
岁,さい,歳,
公司职员,かいしゃいん,会社員,
回家,きたく,帰宅,
总（是）,いつも,いつも,
晚上,よる,夜,
~点,じ,時,
休息,やすみ,休み,
天，日子,ひ,日,
几乎,ほとんど,ほとんど,
现在,いま,今,
美国,アメリカ,アメリカ,
时代,じだい,時代,
东京,とうきょう,東京,
还，尚,まだ,まだ,
单身,どくしん,独身,
娘家，父母家,じっか,実家,
仙台,せんだい,仙台,
祖父母，爷爷奶奶,そふぼ,祖父母,
匹，只，条,ひき,匹,
表示敬意（如:__両親）,ご,御,
兄弟姐妹,きょうだい,兄弟,
独生子,ひとりっこ,一人っ子,
妹妹,いもうと,妹,
弟弟,おとうと,弟,
大学生,だいがくせい,大学生,
高中生,こうこうせい,高校生,
初中生,ちゅうがくせい,中学生,
可是，我说,ところで,ところで,
这，这个,この,この,
附近,ちかく,近く,
邮局,ゆうびんきょく,郵便局,
银行,ぎんこう,銀行,
电影院,えいがかん,映画館,